Year,UNIT_MEASURE,SEX,AGE,Value
2021-Q1,%,_T,15 - 89,47.0
2021-Q1,%,_T,15 - 24,33.0
2021-Q1,%,_T,25 - 49,75.0
2021-Q1,%,_T,50 - 64,46.0
2021-Q1,%,_T,65+,(4.0)
2021-Q1,%,_T,15 - 64,58.0
2021-Q1,%,_T,20 - 64,62.0
2021-Q1,%,_T,25 - 34,75.0
2021-Q1,%,_T,15 - 74,51.0
2021-Q1,%,_T,65 - 74,(5.0)
2021-Q1,%,_M,15 - 89,59.0
2021-Q1,%,_M,15 - 24,40.0
2021-Q1,%,_M,25 - 49,88.0
2021-Q1,%,_M,50 - 64,60.0
2021-Q1,%,_M,65+,(5.0)
2021-Q1,%,_M,15 - 64,71.0
2021-Q1,%,_M,20 - 64,76.0
2021-Q1,%,_M,25 - 34,87.0
2021-Q1,%,_M,15 - 74,63.0
2021-Q1,%,_M,65 - 74,(6.0)
