Year,SEX,UNIT_MEASURE,Value
2010,_T,NO_PER_1000_LIVE_BIRTHS,6.4
2011,_T,NO_PER_1000_LIVE_BIRTHS,5.8
2012,_T,NO_PER_1000_LIVE_BIRTHS,5.4
2013,_T,NO_PER_1000_LIVE_BIRTHS,5.9
2014,_T,NO_PER_1000_LIVE_BIRTHS,5.2
2015,_T,NO_PER_1000_LIVE_BIRTHS,6.1
2016,_T,NO_PER_1000_LIVE_BIRTHS,5.9
2017,_T,NO_PER_1000_LIVE_BIRTHS,6.5
2018,_T,NO_PER_1000_LIVE_BIRTHS,6.2
2019,_T,NO_PER_1000_LIVE_BIRTHS,6.7
2010,M,NO_PER_1000_LIVE_BIRTHS,7.2
2011,M,NO_PER_1000_LIVE_BIRTHS,6.7
2012,M,NO_PER_1000_LIVE_BIRTHS,6.6
2013,M,NO_PER_1000_LIVE_BIRTHS,6.9
2014,M,NO_PER_1000_LIVE_BIRTHS,4.7
2015,M,NO_PER_1000_LIVE_BIRTHS,6.1
2016,M,NO_PER_1000_LIVE_BIRTHS,7.1
2017,M,NO_PER_1000_LIVE_BIRTHS,6.7
2018,M,NO_PER_1000_LIVE_BIRTHS,6.0
2019,M,NO_PER_1000_LIVE_BIRTHS,6.9
2010,F,NO_PER_1000_LIVE_BIRTHS,5.6
2011,F,NO_PER_1000_LIVE_BIRTHS,4.8
2012,F,NO_PER_1000_LIVE_BIRTHS,4.2
2013,F,NO_PER_1000_LIVE_BIRTHS,4.8
2014,F,NO_PER_1000_LIVE_BIRTHS,5.6
2015,F,NO_PER_1000_LIVE_BIRTHS,6.1
2016,F,NO_PER_1000_LIVE_BIRTHS,4.6
2017,F,NO_PER_1000_LIVE_BIRTHS,6.3
2018,F,NO_PER_1000_LIVE_BIRTHS,6.5
2019,F,NO_PER_1000_LIVE_BIRTHS,6.5
